"id","han_ji","chu_im","freq","siann","un","tiau","old_chu_im","sni_siann","sni_un"
418,"群","kun5",,"k","un",5,"kun5","求","君"
419,"宭","kun5",,"k","un",5,"kun5","求","君"
420,"羣","kun5",,"k","un",5,"kun5","求","君"
421,"帬","kun5",,"k","un",5,"kun5","求","君"
422,"𢂽","kun5",,"k","un",5,"kun5","求","君"
423,"裙","kun5",,"k","un",5,"kun5","求","君"
6174,"碢","qo1",,"q","o",1,"o1","英","高"
424,"脣","tun5",,"t","un",5,"tun5","地","君"
425,"唇","tun5",,"t","un",5,"tun5","地","君"
426,"漘","tun5",,"t","un",5,"tun5","地","君"
427,"豚","tun5",,"t","un",5,"tun5","地","君"
428,"豘","tun5",,"t","un",5,"tun5","地","君"
429,"屯","tun5",,"t","un",5,"tun5","地","君"
430,"魨","tun5",,"t","un",5,"tun5","地","君"
431,"臀","tun5",,"t","un",5,"tun5","地","君"
432,"吨","tun5",,"t","un",5,"tun5","地","君"
433,"軘","tun5",,"t","un",5,"tun5","地","君"
434,"盆","phun5",,"ph","un",5,"phun5","頗","君"
435,"葐","phun5",,"ph","un",5,"phun5","頗","君"
436,"㖹","phun5",,"ph","un",5,"phun5","頗","君"
437,"湓","phun5",,"ph","un",5,"phun5","頗","君"
438,"坌","thun5",,"th","un",5,"thun5","他","君"
439,"豚","thun5",,"th","un",5,"thun5","他","君"
440,"䝍","thun5",,"th","un",5,"thun5","他","君"
441,"黗","thun5",,"th","un",5,"thun5","他","君"
442,"存","chun5",,"ch","un",5,"tsun5","曾","君"
443,"拵","chun5",,"ch","un",5,"tsun5","曾","君"
444,"逡","chun5",,"ch","un",5,"tsun5","曾","君"
445,"廵","sun5",,"s","un",5,"sun5","時","君"
446,"侚","sun5",,"s","un",5,"sun5","時","君"
447,"𠊫","sun5",,"s","un",5,"sun5","時","君"
448,"偱","sun5",,"s","un",5,"sun5","時","君"
449,"循","sun5",,"s","un",5,"sun5","時","君"
450,"徇","sun5",,"s","un",5,"sun5","時","君"
451,"狥","sun5",,"s","un",5,"sun5","時","君"
452,"洵","sun5",,"s","un",5,"sun5","時","君"
453,"淳","sun5",,"s","un",5,"sun5","時","君"
454,"惇","sun5",,"s","un",5,"sun5","時","君"
455,"恂","sun5",,"s","un",5,"sun5","時","君"
456,"詢","sun5",,"s","un",5,"sun5","時","君"
457,"旬","sun5",,"s","un",5,"sun5","時","君"
458,"峋","sun5",,"s","un",5,"sun5","時","君"
459,"珣","sun5",,"s","un",5,"sun5","時","君"
460,"㡄","sun5",,"s","un",5,"sun5","時","君"
461,"荀","sun5",,"s","un",5,"sun5","時","君"
462,"郇","sun5",,"s","un",5,"sun5","時","君"
463,"巡","sun5",,"s","un",5,"sun5","時","君"
464,"犉","sun5",,"s","un",5,"sun5","時","君"
465,"醇","sun5",,"s","un",5,"sun5","時","君"
466,"鶉","sun5",,"s","un",5,"sun5","時","君"
