han_ji,chu_im,freq,siann,un, tiau ,old_chu_im,sni_siann,sni_un
拵,tsun5,,ts,un,5,tsun5,曾,君
逡,tsun5,,ts,un,5,tsun5,曾,君
廵,sun5,0.01,s,un,5,sun5,時,君
侚,sun5,,s,un,5,sun5,時,君
𠊫,sun5,0.01,s,un,5,sun5,時,君
偱,sun5,,s,un,5,sun5,時,君
循,sun5,,s,un,5,sun5,時,君
徇,sun5,,s,un,5,sun5,時,君
狥,sun5,0.01,s,un,5,sun5,時,君
洵,sun5,,s,un,5,sun5,時,君
淳,sun5,,s,un,5,sun5,時,君
惇,sun5,,s,un,5,sun5,時,君
恂,sun5,,s,un,5,sun5,時,君
詢,sun5,,s,un,5,sun5,時,君
旬,sun5,,s,un,5,sun5,時,君
峋,sun5,,s,un,5,sun5,時,君
珣,sun5,,s,un,5,sun5,時,君
㡄,sun5,,s,un,5,sun5,時,君
荀,sun5,,s,un,5,sun5,時,君
郇,sun5,,s,un,5,sun5,時,君
巡,sun5,,s,un,5,sun5,時,君
犉,sun5,,s,un,5,sun5,時,君
醇,sun5,,s,un,5,sun5,時,君
鶉,sun5,,s,un,5,sun5,時,君
馴,sun5,,s,un,5,sun5,時,君
殉,sun5,,s,un,5,sun5,時,君
䋸,sun5,,s,un,5,sun5,時,君
槆,sun5,,s,un,5,sun5,時,君
杊,sun5,,s,un,5,sun5,時,君
純,sun5,,s,un,5,sun5,時,君
焞,sun5,,s,un,5,sun5,時,君
沄,qun5,,q,un,5,un5,英,君
澐,qun5,,q,un,5,un5,英,君
縜,qun5,,q,un,5,un5,英,君
文,bun5,,b,un,5,bun5,門,君
旻,bun5,,b,un,5,bun5,門,君
雯,bun5,,b,un,5,bun5,門,君
紋,bun5,,b,un,5,bun5,門,君
捫,bun5,,b,un,5,bun5,門,君
門,bun5,,b,un,5,bun5,門,君
聞,bun5,,b,un,5,bun5,門,君
䎹,bun5,0.01,b,un,5,bun5,門,君
穈,bun5,,b,un,5,bun5,門,君
亹,bun5,,b,un,5,bun5,門,君
𩑥,bun5,,b,un,5,bun5,門,君
輑,gun5,,g,un,5,gun5,語,君
犚,gun5,,g,un,5,gun5,語,君
㑮,hun5,,h,un,5,hun5,喜,君
墳,hun5,,h,un,5,hun5,喜,君
幩,hun5,,h,un,5,hun5,喜,君
汾,hun5,,h,un,5,hun5,喜,君
渾,hun5,,h,un,5,hun5,喜,君
濆,hun5,,h,un,5,hun5,喜,君
枌,hun5,,h,un,5,hun5,喜,君
蕡,hun5,,h,un,5,hun5,喜,君
痕,hun5,,h,un,5,hun5,喜,君
瘒,hun5,,h,un,5,hun5,喜,君
羵,hun5,,h,un,5,hun5,喜,君
朌,hun5,,h,un,5,hun5,喜,君
頒,hun5,0.01,h,un,5,hun5,喜,君
焚,hun5,,h,un,5,hun5,喜,君
緄,hun5,,h,un,5,hun5,喜,君
餛,hun5,,h,un,5,hun5,喜,君
魂,hun5,,h,un,5,hun5,喜,君
㮯,hun5,,h,un,5,hun5,喜,君
雲,hun5,,h,un,5,hun5,喜,君
論,lun7,,l,un,7,lun7,柳,君
崙,lun7,,l,un,7,lun7,柳,君
